MClusterID,XClusterID,MClusterSize,XClusterSize,OverlapSize,OverlapMembers,MOnlySize,MOnlyMembers,XOnlySize,XOnlyMembers,CombinedSize,CombinedMembers
1,18,190,187,181,"['golightly112', 'lbettag', 'rsanchez', 'tjohnson', 'mike67876', 'etrivedi', 'parkerjessup1', 'jfroberg', 'nnosavan', 'lmason', 'jheppermann', 'camasney', 'achen', 'dlc916', 'akileshhonasoge', 'klee', 'icharles', 'lkoehler', 'cbernardo', 'jcs311', 'mkevb1', 'yatakui', 'ku8809no', 'lholyoke', 'jpez', 'jbenjy88', 'alexjud', 'cleung', 'hkim', 'kvargas', 'aviollt', 'bugaboo0036', 'tshastry', 'nrastogi', 'ncrenshaw', 'lhan', 'dpai', 'Lgilbert', 'ahood', 'mquayyum', 'liangcui', 'dennisbluver', 'catherine', 'nsyed', 'ashlyprincess', 'bebe', 'darkmetal505', 'abhatt2007', 'jnam', 'mikeispt108', 'dkim', 'srn779', 'chrissemple', 'olui', 'ggadodia', 'lnezirova', 'ras446', 'nborzym', 'alyu', 'dschuster', 'jheide', 'kpmarcelino', 'kkurda', 'pforyt', 'mwhitesides', 'ruchino', 'sramalingam', 'sumeethj', 'zbergman', 'kpie1', 'lidias', 'tgilbert', 'KA', 'twang23', 'pfellenz', 'skatragadda', 'jholcomb', 'clishea18', 'cwa653', 'cchang', 'rcwang', 'relic12', 'rbrock', 'tgrant', 'jjs390', 'nshabeeb', 'wfm289', 'cyu', 'kmm134', 'aml404', 'eabrams', 'sbehnke', 'bscallon', 'akern', 'hsiaochi', 'luyaozers', 'jsk719', 'aha552', 'csprangers', 'bkang', 'dlorenzini', 'csieber', 'karkaputto', 'mfritz', 'JCLIN', 'ayousef', 'frizz1010', 'NBailey', 'vktdm111', 'lfredin', 'htk351', 'ggrocke', 'jmbachu', 'rmalecky', 'goh07', 'nbasu', 'nflammer', 'kkim', 'sarvis', 'cmehta', 'cblumen1', 'djohanson', 'iabdala', 'jbenjy8', 'cteng', 'ekennedy', 'ccook', 'glewis07', 'avohra', 'mlembo', 'phanna', 'peacful_joh', 'AlexMorgan', 'bbanss13', 'dsutich', 'ewali', 'raga07', 'eah635', 'mayra', 'scai', 'pkasen', 'kwhite', 'ahu22b', 'sespinoza2589', 'dmritard96', 'quangcle', 'cgarcia', 'ldsegall', 'jbanga', 'vkb217', 'mpark', 'cschonberg', 'tgrimm17', 'mrr869', 'clawlor', 'Sbehnke', 'egaray', 'scope', 'ahu22B', 'malperin', 'kjohnson', 'stephenachao', 'kliu', 'mmehta', 'axiao', 'yfatemi', 'jla906', 'tchaudhry', 'stumuluru', 'afr422', 'ckusel', 'jls914', 'cellis', 'LidiaS', 'kwang', 'jclin', 'ssawlani', 'dsm661', 'ka', 'rblee88', 'shezzoid542']",9,"['ahadley', 'j_carver2005', 'Molly_Kuhlman', 'gowens', 'ejm', 'mprovors', 'klang85', 'heatherw', 'smishra']",6,"['Peacful_Joh', 'jroden', 'sstrasser', 'mmapodaca', 'emathieson', 'slhatch']",196,"['lbettag', 'tjohnson', 'mike67876', 'etrivedi', 'akileshhonasoge', 'klee', 'Peacful_Joh', 'cbernardo', 'yatakui', 'lholyoke', 'jpez', 'jbenjy88', 'alexjud', 'cleung', 'hkim', 'sstrasser', 'aviollt', 'bugaboo0036', 'ncrenshaw', 'Lgilbert', 'mquayyum', 'dennisbluver', 'catherine', 'darkmetal505', 'abhatt2007', 'mikeispt108', 'srn779', 'olui', 'ggadodia', 'alyu', 'nborzym', 'dschuster', 'kpmarcelino', 'pforyt', 'sramalingam', 'smishra', 'kpie1', 'tgilbert', 'KA', 'twang23', 'skatragadda', 'pfellenz', 'slhatch', 'cchang', 'rcwang', 'wfm289', 'kmm134', 'jroden', 'aml404', 'sbehnke', 'bscallon', 'hsiaochi', 'aha552', 'csprangers', 'dlorenzini', 'emathieson', 'JCLIN', 'vktdm111', 'ggrocke', 'rmalecky', 'goh07', 'mprovors', 'nbasu', 'nflammer', 'cteng', 'ccook', 'glewis07', 'mlembo', 'phanna', 'AlexMorgan', 'bbanss13', 'dsutich', 'ewali', 'eah635', 'pkasen', 'mayra', 'scai', 'sespinoza2589', 'quangcle', 'ldsegall', 'jbanga', 'mpark', 'cschonberg', 'tgrimm17', 'mrr869', 'egaray', 'Sbehnke', 'clawlor', 'scope', 'ahu22B', 'kjohnson', 'stephenachao', 'kliu', 'jla906', 'cellis', 'kwang', 'ssawlani', 'rblee88', 'golightly112', 'rsanchez', 'Molly_Kuhlman', 'jfroberg', 'nnosavan', 'lmason', 'jheppermann', 'camasney', 'achen', 'dlc916', 'icharles', 'lkoehler', 'jcs311', 'mkevb1', 'ku8809no', 'ahadley', 'kvargas', 'tshastry', 'nrastogi', 'lhan', 'dpai', 'ahood', 'liangcui', 'nsyed', 'ashlyprincess', 'bebe', 'jnam', 'dkim', 'chrissemple', 'lnezirova', 'ras446', 'jheide', 'kkurda', 'mwhitesides', 'ruchino', 'sumeethj', 'zbergman', 'lidias', 'jholcomb', 'clishea18', 'cwa653', 'relic12', 'rbrock', 'jjs390', 'tgrant', 'nshabeeb', 'cyu', 'gowens', 'heatherw', 'eabrams', 'akern', 'klang85', 'luyaozers', 'jsk719', 'bkang', 'csieber', 'karkaputto', 'mfritz', 'ayousef', 'frizz1010', 'NBailey', 'lfredin', 'htk351', 'jmbachu', 'kkim', 'sarvis', 'cmehta', 'iabdala', 'djohanson', 'cblumen1', 'jbenjy8', 'ekennedy', 'avohra', 'peacful_joh', 'raga07', 'kwhite', 'ahu22b', 'ejm', 'dmritard96', 'cgarcia', 'vkb217', 'j_carver2005', 'malperin', 'axiao', 'mmehta', 'yfatemi', 'mmapodaca', 'tchaudhry', 'ckusel', 'afr422', 'jclin', 'jls914', 'LidiaS', 'stumuluru', 'dsm661', 'ka', 'parkerjessup1', 'shezzoid542']"
1,25,190,8,6,"['ahadley', 'j_carver2005', 'Molly_Kuhlman', 'ejm', 'klang85', 'heatherw']",184,"['lbettag', 'parkerjessup1', 'tjohnson', 'rsanchez', 'mike67876', 'etrivedi', 'golightly112', 'jfroberg', 'nnosavan', 'lmason', 'jheppermann', 'camasney', 'achen', 'dlc916', 'akileshhonasoge', 'klee', 'icharles', 'cbernardo', 'lkoehler', 'jcs311', 'yatakui', 'mkevb1', 'ku8809no', 'lholyoke', 'jpez', 'jbenjy88', 'alexjud', 'cleung', 'hkim', 'kvargas', 'aviollt', 'bugaboo0036', 'tshastry', 'nrastogi', 'ncrenshaw', 'lhan', 'dpai', 'Lgilbert', 'ahood', 'mquayyum', 'liangcui', 'dennisbluver', 'catherine', 'nsyed', 'ashlyprincess', 'bebe', 'darkmetal505', 'abhatt2007', 'jnam', 'mikeispt108', 'dkim', 'srn779', 'chrissemple', 'olui', 'ggadodia', 'lnezirova', 'ras446', 'alyu', 'nborzym', 'dschuster', 'jheide', 'kpmarcelino', 'kkurda', 'pforyt', 'mwhitesides', 'ruchino', 'sumeethj', 'zbergman', 'smishra', 'sramalingam', 'kpie1', 'tgilbert', 'KA', 'twang23', 'skatragadda', 'pfellenz', 'jholcomb', 'clishea18', 'cwa653', 'cchang', 'rcwang', 'relic12', 'rbrock', 'jjs390', 'tgrant', 'nshabeeb', 'wfm289', 'cyu', 'kmm134', 'gowens', 'aml404', 'eabrams', 'sbehnke', 'bscallon', 'akern', 'hsiaochi', 'luyaozers', 'jsk719', 'aha552', 'csprangers', 'bkang', 'dlorenzini', 'csieber', 'karkaputto', 'mfritz', 'JCLIN', 'ayousef', 'frizz1010', 'vktdm111', 'NBailey', 'lfredin', 'htk351', 'ggrocke', 'jmbachu', 'rmalecky', 'goh07', 'mprovors', 'nbasu', 'nflammer', 'kkim', 'sarvis', 'cmehta', 'iabdala', 'djohanson', 'cblumen1', 'jbenjy8', 'cteng', 'ekennedy', 'ccook', 'glewis07', 'avohra', 'mlembo', 'phanna', 'peacful_joh', 'AlexMorgan', 'bbanss13', 'dsutich', 'ewali', 'raga07', 'eah635', 'pkasen', 'mayra', 'scai', 'kwhite', 'ahu22b', 'sespinoza2589', 'dmritard96', 'quangcle', 'cgarcia', 'shezzoid542', 'ldsegall', 'jbanga', 'vkb217', 'mpark', 'cschonberg', 'tgrimm17', 'mrr869', 'egaray', 'Sbehnke', 'scope', 'clawlor', 'ahu22B', 'malperin', 'kjohnson', 'stephenachao', 'kliu', 'axiao', 'mmehta', 'yfatemi', 'jla906', 'tchaudhry', 'ckusel', 'afr422', 'jclin', 'jls914', 'cellis', 'LidiaS', 'kwang', 'stumuluru', 'ssawlani', 'dsm661', 'ka', 'rblee88', 'lidias']",2,"['ejblaesi', 'cmaikens']",192,"['lbettag', 'parkerjessup1', 'tjohnson', 'rsanchez', 'mike67876', 'etrivedi', 'golightly112', 'Molly_Kuhlman', 'jfroberg', 'nnosavan', 'lmason', 'jheppermann', 'camasney', 'achen', 'dlc916', 'akileshhonasoge', 'klee', 'icharles', 'cbernardo', 'lkoehler', 'jcs311', 'yatakui', 'mkevb1', 'ku8809no', 'lholyoke', 'jpez', 'jbenjy88', 'alexjud', 'cleung', 'hkim', 'ahadley', 'kvargas', 'aviollt', 'bugaboo0036', 'tshastry', 'nrastogi', 'ncrenshaw', 'lhan', 'dpai', 'Lgilbert', 'ahood', 'mquayyum', 'liangcui', 'dennisbluver', 'catherine', 'cmaikens', 'nsyed', 'ashlyprincess', 'bebe', 'darkmetal505', 'abhatt2007', 'jnam', 'mikeispt108', 'dkim', 'srn779', 'chrissemple', 'olui', 'ggadodia', 'lnezirova', 'ras446', 'alyu', 'nborzym', 'dschuster', 'jheide', 'kpmarcelino', 'kkurda', 'pforyt', 'mwhitesides', 'ruchino', 'sumeethj', 'zbergman', 'smishra', 'sramalingam', 'kpie1', 'tgilbert', 'KA', 'twang23', 'skatragadda', 'pfellenz', 'jholcomb', 'clishea18', 'cwa653', 'cchang', 'rcwang', 'relic12', 'rbrock', 'jjs390', 'tgrant', 'nshabeeb', 'wfm289', 'cyu', 'kmm134', 'gowens', 'heatherw', 'aml404', 'eabrams', 'sbehnke', 'bscallon', 'akern', 'hsiaochi', 'klang85', 'luyaozers', 'jsk719', 'aha552', 'csprangers', 'bkang', 'dlorenzini', 'csieber', 'karkaputto', 'mfritz', 'JCLIN', 'ayousef', 'frizz1010', 'vktdm111', 'NBailey', 'lfredin', 'ejblaesi', 'htk351', 'ggrocke', 'jmbachu', 'rmalecky', 'goh07', 'mprovors', 'nbasu', 'nflammer', 'kkim', 'sarvis', 'cmehta', 'iabdala', 'djohanson', 'cblumen1', 'jbenjy8', 'cteng', 'ekennedy', 'ccook', 'glewis07', 'avohra', 'mlembo', 'phanna', 'peacful_joh', 'AlexMorgan', 'bbanss13', 'dsutich', 'ewali', 'raga07', 'eah635', 'pkasen', 'mayra', 'scai', 'kwhite', 'ahu22b', 'ejm', 'sespinoza2589', 'dmritard96', 'quangcle', 'cgarcia', 'shezzoid542', 'ldsegall', 'jbanga', 'vkb217', 'mpark', 'cschonberg', 'tgrimm17', 'mrr869', 'egaray', 'j_carver2005', 'Sbehnke', 'scope', 'clawlor', 'ahu22B', 'malperin', 'kjohnson', 'stephenachao', 'kliu', 'axiao', 'mmehta', 'yfatemi', 'jla906', 'tchaudhry', 'ckusel', 'afr422', 'jclin', 'jls914', 'cellis', 'LidiaS', 'kwang', 'stumuluru', 'ssawlani', 'dsm661', 'ka', 'rblee88', 'lidias']"
2,24,68,71,63,"['khm98', 'yenchuyang', 'shuhu', 'jliu86', 'indepj', 'jayparker', 'vijayfrancis7', 'zihong', 'samehgalal', 'tsewang', 'nitindua', 'dschou', 'jaccy', 'tila', 'dseo80', 'idimen', 'youngy', 'srivats9117', 'zhuzhouyuan02', 'kknutson', 'kosar', 'jeonjin7', 'maduncan', 'jasonlin', 'hrlee', 'rawisraw', 'nikit', 'yoneoka', 'rajmisra', 'mayur20', 'darylng', 'derek502', 'hailiangmars', 'jonrviper', 'shengliu', 'KoalaBlue1', 'tpslele', '04925848a', 'yongpark', 'changwa', 'vijayp', 'ytcheng', 'ngyoung', 'bclim', 'ee94040', 'pardalan', 'xhl20', 'jwf', 'nefcy', 'erichoke', 'talk2stars', 'oliviawei', 'tskim1', 'tzonghan', 'eriki', 'mullings', 'rbhobe', 'tfcheng', 'lthoon', 'aaronl', 'npradhan', 'aniveditha', 'alsune']",5,"['dvangogh', 'cjhsieh', 'Gugiyu', 'jrhahn1', 'cdaigle']",8,"['akpec', 'jrileyEE218', 'jprao', 'Zihong', 'elaineo', 'farazhb', 'Allans123', 'arjun85']",76,"['khm98', 'shuhu', 'yenchuyang', 'indepj', 'jayparker', 'zihong', 'samehgalal', 'tsewang', 'nitindua', 'dschou', 'jaccy', 'tila', 'Zihong', 'dseo80', 'srivats9117', 'maduncan', 'cjhsieh', 'rawisraw', 'yoneoka', 'rajmisra', 'arjun85', 'shengliu', 'KoalaBlue1', '04925848a', 'yongpark', 'vijayp', 'dvangogh', 'bclim', 'ee94040', 'farazhb', 'nefcy', 'erichoke', 'tfcheng', 'aaronl', 'cdaigle', 'alsune', 'xhl20', 'akpec', 'jliu86', 'vijayfrancis7', 'idimen', 'youngy', 'zhuzhouyuan02', 'kknutson', 'kosar', 'jeonjin7', 'jasonlin', 'jprao', 'hrlee', 'elaineo', 'nikit', 'mayur20', 'darylng', 'derek502', 'hailiangmars', 'jonrviper', 'tpslele', 'changwa', 'ytcheng', 'Gugiyu', 'ngyoung', 'pardalan', 'Allans123', 'jwf', 'jrileyEE218', 'talk2stars', 'oliviawei', 'tskim1', 'tzonghan', 'eriki', 'mullings', 'rbhobe', 'jrhahn1', 'lthoon', 'npradhan', 'aniveditha']"
3,29,32,14,11,"['pcg53747', 'deathsosth', 'hwcheng', 'LKy', 'apaphix', 'cloud', 'getchar', 'eencnudon', 'graphalgo', 'Littleh', 'tcyeh']",21,"['tjbadcock', 'steve01903', 'ryanboesch', 'sarathcpt', 'seario', 'jingjing', 'arikan', 'appeli', 'ftempasuedu', 'stacy', 'coffeemate', 'sbaliga', 'paradox', 'rmh724', 'agacosta', 'pigguo', 'tjchiu', 'maciekligowski', 'kchandr5', 'sabbas', 'kdeepak1984']",3,"['tarks', 'eric197542', 'beznp']",35,"['tjbadcock', 'steve01903', 'eric197542', 'tarks', 'ryanboesch', 'sarathcpt', 'seario', 'jingjing', 'graphalgo', 'arikan', 'beznp', 'appeli', 'ftempasuedu', 'LKy', 'apaphix', 'stacy', 'coffeemate', 'cloud', 'sbaliga', 'paradox', 'rmh724', 'Littleh', 'tcyeh', 'agacosta', 'hwcheng', 'pigguo', 'eencnudon', 'tjchiu', 'maciekligowski', 'deathsosth', 'pcg53747', 'getchar', 'kchandr5', 'sabbas', 'kdeepak1984']"
3,30,32,13,8,"['ftempasuedu', 'coffeemate', 'sbaliga', 'sarathcpt', 'kchandr5', 'jingjing', 'rmh724', 'kdeepak1984']",24,"['tjbadcock', 'steve01903', 'ryanboesch', 'seario', 'graphalgo', 'arikan', 'appeli', 'LKy', 'apaphix', 'stacy', 'cloud', 'paradox', 'Littleh', 'tcyeh', 'agacosta', 'hwcheng', 'pigguo', 'eencnudon', 'tjchiu', 'maciekligowski', 'deathsosth', 'pcg53747', 'getchar', 'sabbas']",5,"['asgoerni', 'panrets', 'bharanr', 'bpadman1', 'ahossai']",37,"['tjbadcock', 'steve01903', 'ryanboesch', 'sarathcpt', 'seario', 'jingjing', 'graphalgo', 'arikan', 'appeli', 'ftempasuedu', 'LKy', 'apaphix', 'stacy', 'coffeemate', 'panrets', 'cloud', 'sbaliga', 'paradox', 'bpadman1', 'rmh724', 'Littleh', 'tcyeh', 'asgoerni', 'agacosta', 'hwcheng', 'pigguo', 'eencnudon', 'bharanr', 'tjchiu', 'maciekligowski', 'deathsosth', 'pcg53747', 'getchar', 'kchandr5', 'ahossai', 'sabbas', 'kdeepak1984']"
3,7,32,9,1,['jingjing'],31,"['tjbadcock', 'steve01903', 'ryanboesch', 'sarathcpt', 'seario', 'graphalgo', 'arikan', 'appeli', 'ftempasuedu', 'LKy', 'apaphix', 'stacy', 'coffeemate', 'cloud', 'sbaliga', 'paradox', 'rmh724', 'Littleh', 'tcyeh', 'agacosta', 'hwcheng', 'pigguo', 'eencnudon', 'tjchiu', 'maciekligowski', 'deathsosth', 'pcg53747', 'getchar', 'kchandr5', 'sabbas', 'kdeepak1984']",8,"['bhupathikalpana', 'scsong71', 'lnaveen', 'raamsid', 'kotanaveen', 'harish', 'ranjithpadidala', 'moturukh']",40,"['tjbadcock', 'steve01903', 'scsong71', 'ryanboesch', 'sarathcpt', 'seario', 'jingjing', 'graphalgo', 'arikan', 'appeli', 'ftempasuedu', 'LKy', 'apaphix', 'stacy', 'coffeemate', 'raamsid', 'cloud', 'sbaliga', 'paradox', 'rmh724', 'Littleh', 'tcyeh', 'moturukh', 'bhupathikalpana', 'agacosta', 'hwcheng', 'lnaveen', 'pigguo', 'harish', 'eencnudon', 'ranjithpadidala', 'tjchiu', 'maciekligowski', 'deathsosth', 'pcg53747', 'kotanaveen', 'getchar', 'kchandr5', 'sabbas', 'kdeepak1984']"
4,26,28,25,22,"['maksimz', 'seb6006', 's042570', 'nierhoff', 'EnthusiasticStudent', 'yoda', 'paw', 'mibole', 's042463', 'jonasdue', 'krugster', 'eskrut', 'dirac1928', 'paoloween', 'crapy', 'ToBeAss', 'johan', 'Pikachu', 'hoomie', 's042515', 's042201', 'chris100']",6,"['MTM', 'xaratustra', 's042177', 'rparsa', 'qiankun', 'ehosseini']",3,"['nanomads', 'mabazain', 'hildur']",31,"['maksimz', 's042570', 'seb6006', 'mabazain', 'nierhoff', 'EnthusiasticStudent', 'yoda', 'paw', 's042177', 'mibole', 'ehosseini', 's042463', 'jonasdue', 'hildur', 'krugster', 'eskrut', 'dirac1928', 'MTM', 'paoloween', 'xaratustra', 'rparsa', 'crapy', 'Pikachu', 'johan', 'ToBeAss', 'qiankun', 'hoomie', 'nanomads', 's042515', 's042201', 'chris100']"
5,8,28,19,14,"['jithudevineni', 'nagavender', 'pramod_dude2003', 'lude251', 'agnichunduri', 'suchitradhadigam', 'omkareshwarnaik', 'deepthinano', 'saikeerthig', 'jilani919', 'ponugupati', 'subbarao', 'abhishekmidturi', 'namtih58']",14,"['vickyb', 'fernandorios6', 'robdavid', 'malleswari', 'maxon_999', 'alkuslikis', 'rajkirangotti', 'vasu_katangooru', 'raghuramsrinivasr', 'rajkirangottipati', 'hameed425', 'phcaobq', 'venkatvasu', 'siddhuchow']",5,"['p_deepthi13', 'aliuddin', 'sravan', 'panyamak', 'moin95']",33,"['jithudevineni', 'pramod_dude2003', 'suchitradhadigam', 'alkuslikis', 'fernandorios6', 'nagavender', 'p_deepthi13', 'malleswari', 'panyamak', 'vasu_katangooru', 'deepthinano', 'jilani919', 'hameed425', 'venkatvasu', 'abhishekmidturi', 'namtih58', 'moin95', 'vickyb', 'maxon_999', 'rajkirangotti', 'omkareshwarnaik', 'saikeerthig', 'raghuramsrinivasr', 'rajkirangottipati', 'robdavid', 'aliuddin', 'sravan', 'lude251', 'agnichunduri', 'ponugupati', 'subbarao', 'phcaobq', 'siddhuchow']"
5,10,28,7,7,"['malleswari', 'maxon_999', 'vasu_katangooru', 'raghuramsrinivasr', 'rajkirangottipati', 'subbarao', 'venkatvasu']",21,"['jithudevineni', 'pramod_dude2003', 'suchitradhadigam', 'alkuslikis', 'fernandorios6', 'nagavender', 'deepthinano', 'jilani919', 'hameed425', 'abhishekmidturi', 'namtih58', 'vickyb', 'rajkirangotti', 'omkareshwarnaik', 'saikeerthig', 'robdavid', 'lude251', 'agnichunduri', 'ponugupati', 'phcaobq', 'siddhuchow']",0,[],28,"['jithudevineni', 'vickyb', 'pramod_dude2003', 'maxon_999', 'suchitradhadigam', 'alkuslikis', 'rajkirangotti', 'omkareshwarnaik', 'saikeerthig', 'raghuramsrinivasr', 'rajkirangottipati', 'robdavid', 'fernandorios6', 'nagavender', 'venkatvasu', 'siddhuchow', 'malleswari', 'lude251', 'agnichunduri', 'vasu_katangooru', 'deepthinano', 'jilani919', 'ponugupati', 'subbarao', 'hameed425', 'phcaobq', 'abhishekmidturi', 'namtih58']"
5,9,28,5,4,"['raghuramsrinivasr', 'lude251', 'abhishekmidturi', 'rajkirangotti']",24,"['jithudevineni', 'vickyb', 'pramod_dude2003', 'maxon_999', 'suchitradhadigam', 'alkuslikis', 'omkareshwarnaik', 'saikeerthig', 'rajkirangottipati', 'robdavid', 'fernandorios6', 'nagavender', 'venkatvasu', 'siddhuchow', 'malleswari', 'agnichunduri', 'vasu_katangooru', 'deepthinano', 'jilani919', 'ponugupati', 'subbarao', 'hameed425', 'phcaobq', 'namtih58']",1,['myersrr'],29,"['jithudevineni', 'vickyb', 'pramod_dude2003', 'maxon_999', 'suchitradhadigam', 'alkuslikis', 'rajkirangotti', 'omkareshwarnaik', 'saikeerthig', 'raghuramsrinivasr', 'rajkirangottipati', 'myersrr', 'robdavid', 'fernandorios6', 'nagavender', 'venkatvasu', 'siddhuchow', 'malleswari', 'lude251', 'agnichunduri', 'vasu_katangooru', 'deepthinano', 'jilani919', 'ponugupati', 'subbarao', 'hameed425', 'phcaobq', 'abhishekmidturi', 'namtih58']"
6,15,27,27,22,"['gokberk', 'tanzil', 'mikaelkv', 't36', 'Nicoinn', 'gustbee', 'SwedishViking', 'elyas', 'bjnils', 'svedend', 'blubbe', 'parizek', 'albynanu', 'Aemo', 'davidko', 'mlelshei', 'Vel0th', 'anita80', 'rozycki', 'johoi', 'saad', 'shamsa']",5,"['akkallio', 'simulering', 'dahir', 'steppen7', 'petroff']",5,"['maxem', 'sebricci', 'robin77i', 'krissboy', 'bellmanz']",32,"['gokberk', 'tanzil', 'simulering', 'mikaelkv', 't36', 'Nicoinn', 'gustbee', 'SwedishViking', 'krissboy', 'elyas', 'bellmanz', 'maxem', 'bjnils', 'svedend', 'blubbe', 'parizek', 'albynanu', 'Aemo', 'davidko', 'dahir', 'sebricci', 'mlelshei', 'Vel0th', 'anita80', 'johoi', 'rozycki', 'saad', 'akkallio', 'shamsa', 'robin77i', 'steppen7', 'petroff']"
7,17,25,45,23,"['bvgregor', 'xlu', 'jasonmartens', 'djacobs', 'afasolinu', 'afranklin', 'asi071', 'rbanakis', 'dmondschean', 'ssaddemi', 'tifalok', 'jrudoy', 'mmarkese', 'zsidik', 'drhee', 'agross', 'mjc222', 'abartolai', 'alicialoon', 'jradcliffe', 'Chisda', 'ljordano', 'ltrevino']",2,"['eed1987', 'garlandlisa']",22,"['chisda', 'jroden', 'nonhub1122', 'sifatshahjahan', 'choel', 'tejerina', 'chngnisbbgy', 'cal321', 'willybaw', 'christian', 'aos422', 'alice', 'amunoz', 'cgoldschmidt', 'mhartrich', 'tgadzikwa', 'darkslayer13', 'slhatch', 'mmapodaca', 'mrosenberg', 'alyszczarz', 'nathancboren']",47,"['jroden', 'xlu', 'choel', 'jasonmartens', 'tejerina', 'djacobs', 'afasolinu', 'afranklin', 'asi071', 'rbanakis', 'willybaw', 'dmondschean', 'ssaddemi', 'tifalok', 'christian', 'mmarkese', 'alice', 'mhartrich', 'alicialoon', 'tgadzikwa', 'jradcliffe', 'Chisda', 'ljordano', 'chisda', 'bvgregor', 'nonhub1122', 'sifatshahjahan', 'chngnisbbgy', 'cal321', 'jrudoy', 'zsidik', 'drhee', 'aos422', 'agross', 'eed1987', 'mjc222', 'garlandlisa', 'abartolai', 'cgoldschmidt', 'amunoz', 'slhatch', 'darkslayer13', 'nathancboren', 'mmapodaca', 'mrosenberg', 'alyszczarz', 'ltrevino']"
