,date,num_clusters_bysem,num_cumulative_classes
0,2008-01,66,66
1,2008-07,45,111
2,2009-01,47,158
3,2009-07,51,209
4,2010-01,90,299
5,2010-07,81,380
6,2011-01,101,481
7,2011-07,89,570
8,2012-01,95,665
9,2012-07,106,771
10,2013-01,117,888
11,2013-07,100,988
12,2014-01,103,1091
13,2014-07,101,1192
14,2015-01,113,1305
15,2015-07,110,1415
16,2016-01,142,1557
17,2016-07,158,1715
18,2017-01,151,1866
19,2017-07,158,2024
20,2018-01,171,2195
21,2018-07,151,2346
22,2019-01,176,2522
23,2019-07,158,2680
24,2020-01,242,2922
25,2020-07,201,3123
26,2021-01,246,3369
27,2021-07,214,3583
